timestamp,latency_ms,jitter_ms,loss_pct,bandwidth_mbps,queue_drops,delta_tx_bytes,delta_rx_bytes,rssi_dbm,server_cpu_pct,server_ram_pct,congestion_state
350,4.758,0.605,0.0,-1.0,0,0,0,-46,18.200000000000003,84.89,MEDIUM
355,4.682,0.349,0.0,-1.0,0,0,0,-46,17.400000000000006,84.94,MEDIUM
360,4.932,0.09,0.0,-1.0,0,0,0,-46,60.9,86.14,MEDIUM
365,4.754,0.539,0.0,-1.0,0,0,0,-46,19.0,86.24,MEDIUM
370,13.908,8.709,0.0,0.0,0,0,0,-46,100.0,84.63,HIGH
375,5.769,0.403,0.0,-1.0,0,0,0,-46,10.0,83.38,MEDIUM
380,4.866,0.237,0.0,-1.0,0,0,0,-46,13.599999999999994,83.27,MEDIUM
385,4.605,0.182,0.0,-1.0,0,0,0,-46,14.299999999999997,82.44,MEDIUM
390,5.097,0.258,0.0,-1.0,0,0,0,-46,10.0,82.39,MEDIUM
395,4.66,0.806,0.0,0.0,0,0,0,-46,9.5,81.97,MEDIUM
400,4.684,0.139,0.0,-1.0,0,0,0,-46,9.5,82.02,MEDIUM
405,5.13,1.205,0.0,-1.0,0,0,0,-46,15.0,80.88,MEDIUM
410,3.581,0.552,0.0,-1.0,0,0,0,-46,9.5,81.66,MEDIUM
415,4.77,0.351,0.0,-1.0,0,0,0,-46,9.5,82.07,MEDIUM
420,5.131,0.767,0.0,0.0,0,0,0,-46,9.5,82.6,MEDIUM
425,4.838,0.824,0.0,-1.0,0,0,0,-46,13.599999999999994,82.75,MEDIUM
430,4.449,0.815,0.0,-1.0,0,0,0,-46,13.599999999999994,82.91,MEDIUM
435,4.308,0.093,0.0,-1.0,0,0,0,-46,13.599999999999994,82.96,MEDIUM
440,5.152,2.004,0.0,-1.0,0,0,0,-46,75.0,82.86,MEDIUM
445,5.983,1.469,0.0,0.0,0,0,0,-46,18.200000000000003,83.12,MEDIUM
450,3.965,0.362,0.0,-1.0,0,0,0,-46,9.5,83.17,MEDIUM
455,4.074,0.303,0.0,-1.0,0,0,0,-46,10.0,83.32,MEDIUM
460,4.416,0.092,0.0,-1.0,0,0,0,-46,9.5,83.38,MEDIUM
465,5.409,0.851,0.0,-1.0,0,0,0,-46,13.599999999999994,83.59,MEDIUM
470,4.469,0.621,0.0,0.0,0,0,0,-46,9.5,83.69,MEDIUM
475,4.567,0.825,0.0,-1.0,0,0,0,-46,13.599999999999994,83.69,MEDIUM
480,4.774,0.783,0.0,-1.0,0,0,0,-46,9.5,83.53,MEDIUM
485,4.853,0.441,0.0,-1.0,0,0,0,-46,9.099999999999994,83.59,MEDIUM
490,4.63,0.413,0.0,-1.0,0,0,0,-46,9.5,83.27,MEDIUM
495,4.836,0.114,0.0,0.0,0,0,0,-46,5.0,83.32,MEDIUM
500,5.047,0.572,0.0,-1.0,0,0,0,-46,9.5,83.48,MEDIUM
505,4.405,0.496,0.0,-1.0,0,0,0,-46,9.5,83.38,MEDIUM
510,4.469,0.286,0.0,-1.0,0,0,0,-46,9.099999999999994,83.53,MEDIUM
515,4.439,0.524,0.0,-1.0,0,0,0,-46,9.5,83.69,MEDIUM
520,5.253,1.03,0.0,0.0,0,0,0,-46,13.599999999999994,83.79,MEDIUM
